Item,Description,Quantity,Unit Price ($),Total Price ($),URL,Total ($)
PCBA,PCB,"5 PCB, 2 PCBA",54,54,https://jlcpcb.com/,54
ESP32-S3-WROOM-1-N8R2,MCU,1,4.6,4.6,https://evelta.com/esp32-s3-wroom-1-n8r2-wifi-bluetooth-module-8mb-flash-2mb-psram-pcb-antenna/,58.6
BMI270 Breadout Board,IMU,1,3.1,3.1,https://evelta.com/7semi-bmi323-imu-nano-breakout-board-6dof-accelerometer-gyroscope-with-qwiic/,61.7
2805 140KV BLDC Motors,Motors,3,10.83,32.49,https://robu.in/product/2805-140kv-gimbal-brushless-motor/,94.19
3.7v 2500mah 18650 Li-Ion Battery,Battery,3,0.87,2.61,https://robocraze.com/products/3-7v-2500mah-18650-li-ion-battery?variant=43194107920608,96.8
18650 3×1 Cell Spacer,Cell Spacer,2,0.011,0.022,https://robu.in/product/18650-3x1-battery-cell-spacer-holder/,96.822
3S 10A Li-ion 18650 BMS,BMS,1,1.48,1.48,https://robu.in/product/3s-6a-li-ion-18650-charger-protection-board-module-10-8v-11-1v-12-6v/,98.302
DS-314 10MM Momentary Push Button,Push Buttons,3,0.22,0.66,https://robu.in/product/red-ds-314-10mm-lock-free-momentary-self-reset-small-push-button-switch/,98.962
3A 250V Rocker Swtich,Power Botton,1,0.27,0.27,https://robu.in/product/1-month-warranty-1217/,99.232
3mm LED Orange,LED,8,0.014,0.112,https://robu.in/product/3mm-dip-led-orange-50-pcs/,99.344
30AWG Silicon Wire (Red),Connecting Wire,5,0.055,0.275,https://robu.in/product/high-quality-ultra-flexible-30awg-silicone-wire-1000-m-red/,99.619
30AWG Silicon Wire (Black),Connecting Wire,5,0.055,0.275,https://robu.in/product/high-quality-ultra-flexible-30awg-silicone-wire-1000-m-black/,99.894
30AWG Silicon Wire (Yellow),Connecting Wire,5,0.055,0.275,https://robu.in/product/high-quality-ultra-flexible-30awg-silicone-wire-yellow/,100.169
30AWG Silicon Wire (Green),Connecting Wire,5,0.055,0.275,https://robu.in/product/high-quality-ultra-flexible-30awg-silicone-wire-green/,100.444
Universal Mobile Holder,Mobile Holder,1,1.45,1.45,https://www.amazon.in/gp/product/B07S9KNGVS,101.894
M2 and M3 Screws,Mounting Screws,1,4.38,4.38,https://www.amazon.in/gp/product/B0FP53QGD2/,106.274
3M VHB Tape,Mounting PCB,1,4.29,4.29,https://onlyscrews.in/products/3m-gp-bonding-tape-12mm-x-5meters?,110.564
M3 x 10mm Screws,Mounting Screws,4,0.015,0.06,https://onlyscrews.in/products/phillips-csk-m3-x-8mm-pack-of-20?,110.624
M3 x 8mm Inserts,Mounting Inserts,4,0.029,0.116,https://onlyscrews.in/products/m3-x-8mm-brass-threaded-inserts?,110.74
M3 x 25mm Screws,Mounting Screws,3,0.026,0.078,https://onlyscrews.in/products/m3-x-25mm-phillips-csk-ss-304-screw?,110.818
M3 Nylock Nuts,Mounting Nuts,3,0.033,0.099,https://onlyscrews.in/products/m3-nyloc-nuts-ss304?,110.917
"1/4"" - 20 D-Ring",Tripod/Clamp Mounting screw,1,4.38,4.38,https://www.amazon.in/SHOPEE-Mounting-Adapter-Camcorder-Stainless/dp/B09S3XQ8R9/,115.297
,,,,,,
Platform,Total Shipping ($),Running Total ($),,,,
JLCPCB,3.86,119.157,,,,
Amazon,0,119.157,,,,
Robu,1.09,120.247,,,,
Evalta,0.49,120.737,,,,
Robocraze,1.37,122.107,,,,
Only Screws,2.37,124.477,,,,
Printing Legion (3D Printing),15,139.477,,,,
